,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
0,LINKUSDT,MASKUSDT,2.647790337017893,0.22746833586078424,0.00010795526763409275,0,0,0,0.0,-0.5978805354827332,0,0,0,0.0
11,DOGEUSDT,APEUSDT,0.015991220076608904,0.0013222201803210815,0.025518009797047488,0,0,0,0.0,-0.6323483372471826,0,0,0,-1.876055899885296
19,FILUSDT,SOLUSDT,0.11773832170710766,0.09033211775406735,0.0038676384101850236,0,0,0,0.0,1.2519130109492755,0,0,0,0.0
18,XRPUSDT,EOSUSDT,0.9039056876595258,0.00852957012008959,0.000533836003563868,0,0,0,-4.169490794566432,-0.7081713161573457,0,0,0,0.0
17,XRPUSDT,AAVEUSDT,0.0017549705556005966,0.005793985867870269,0.004484075907246802,0,0,0,0.0,0.41757366932718526,0,0,0,-5.462363801757952
16,XRPUSDT,SOLUSDT,0.011592851014357766,0.00526482860239625,0.01367469137851119,0,0,0,0.0,-0.061701124801206375,0,0,0,-28.988630842782772
15,XRPUSDT,FILUSDT,0.09688549971755255,0.00850970674602133,0.011003940109297106,0,0,0,0.0,-0.6343703850511497,0,0,0,-29.705393659602162
14,XRPUSDT,DOTUSDT,0.11967244087575046,0.005615148198273987,0.009276583793448234,0,0,0,0.0,-1.1291468444027082,0,0,0,-13.163845871772685
13,AVAXUSDT,AAVEUSDT,0.05385112541120232,0.08973025261106002,0.0001026607437400684,0,0,0,0.0,0.8881150571530682,0,0,0,0.0
12,DOGEUSDT,SOLUSDT,0.0016608008820789874,0.001701871882987515,0.025364972287401068,0,0,0,0.0,-0.6586850108999683,0,0,0,-0.2653857140954794
10,DOGEUSDT,XRPUSDT,0.12212667366254543,0.00137319533728508,0.00559786112926178,0,0,0,0.0,-0.8354102841067601,0,0,0,-1.9532121674837997
1,APTUSDT,XLMUSDT,15.988422890986529,0.0695891789144491,0.025183244326068402,0,0,0,-4.713727511855584,0.04724330537353556,0,0,0,-9.050079957958356
9,XLMUSDT,EOSUSDT,0.42373846146360017,0.005437836037195229,0.008829591041389688,0,0,0,0.0,-1.262067419766239,0,0,0,0.0
8,SNXUSDT,KNCUSDT,4.052703260631095,0.19545692527360647,0.023610452972222744,0,0,0,-45.23028174201205,-3.1900456924480234,0,0,0,-6.444484656410893
7,HBARUSDT,KNCUSDT,0.02806282677588446,0.0008047007715445205,0.0003349182240347839,0,0,0,-6.544137858222719,-1.2521051218056314,0,0,0,-8.786537545188875
6,HBARUSDT,FILUSDT,0.012315376876304568,0.000881126592452788,0.01715412141541783,0,0,0,-2.2007283568462768,1.939407826940738,0,0,0,-13.954565068180461
5,MASKUSDT,MATICUSDT,3.1685017510709654,0.04678001976303756,0.00022348224639266492,0,0,0,0.0,1.7832014172193982,0,0,0,0.0
4,MASKUSDT,DOTUSDT,0.6535152039656067,0.05398619130984884,0.008543680785188372,0,0,0,0.0,1.6583526405968934,0,0,0,0.0
3,APTUSDT,XRPUSDT,7.58872230014361,0.05112729444036801,0.02256290147773444,0,0,0,-4.269573822388912,-0.4922141358943654,0,0,0,0.0
2,APTUSDT,DOGEUSDT,52.5347570310379,0.08065996542866395,0.02690241879191336,0,0,0,0.0,0.0373016131182487,0,0,0,0.0
20,APEUSDT,SOLUSDT,0.1016730963888225,0.0771078345401553,0.0153806056594872,0,0,0,0.0,-0.1978683009131347,0,0,0,0.0
